2025-06-06 07:58:56.684 | INFO     |  -  | Waiting for application shutdown.
2025-06-06 07:58:56.687 | INFO     |  -  | Application shutdown complete.
2025-06-06 07:58:59.518 | INFO     |  -  | Started server process [81231]
2025-06-06 07:58:59.519 | INFO     |  -  | Waiting for application startup.
2025-06-06 07:58:59.545 | INFO     |  -  | Application startup complete.
2025-06-06 07:59:13.625 | INFO     |  -  | Shutting down
2025-06-06 07:59:13.728 | INFO     |  -  | Waiting for application shutdown.
2025-06-06 07:59:16.463 | INFO     |  -  | Started server process [81288]
2025-06-06 07:59:16.464 | INFO     |  -  | Waiting for application startup.
2025-06-06 07:59:16.489 | INFO     |  -  | Application startup complete.
2025-06-06 08:04:15.536 | INFO     |  -  | Shutting down
2025-06-06 08:04:15.640 | INFO     |  -  | Waiting for application shutdown.
2025-06-06 08:04:18.474 | INFO     |  -  | Started server process [82013]
2025-06-06 08:04:18.475 | INFO     |  -  | Waiting for application startup.
2025-06-06 08:04:18.502 | INFO     |  -  | Application startup complete.
2025-06-06 08:51:05.067 | INFO     |  -  | Shutting down
2025-06-06 08:51:05.169 | INFO     |  -  | Waiting for application shutdown.
2025-06-06 08:51:05.170 | INFO     |  -  | Application shutdown complete.
2025-06-06 08:51:07.750 | INFO     |  -  | Started server process [88530]
2025-06-06 08:51:07.750 | INFO     |  -  | Waiting for application startup.
2025-06-06 08:51:07.784 | INFO     |  -  | Application startup complete.
2025-06-06 08:51:55.123 | INFO     |  -  | Shutting down
2025-06-06 08:51:55.226 | INFO     |  -  | Waiting for application shutdown.
2025-06-06 08:51:55.232 | INFO     |  -  | Application shutdown complete.
2025-06-06 08:51:57.800 | INFO     |  -  | Started server process [88657]
2025-06-06 08:51:57.801 | INFO     |  -  | Waiting for application startup.
2025-06-06 08:51:57.827 | INFO     |  -  | Application startup complete.
2025-06-06 08:53:00.223 | INFO     |  -  | Shutting down
2025-06-06 08:53:00.325 | INFO     |  -  | Waiting for application shutdown.
2025-06-06 08:53:02.805 | INFO     |  -  | Started server process [88851]
2025-06-06 08:53:02.805 | INFO     |  -  | Waiting for application startup.
2025-06-06 08:53:02.832 | INFO     |  -  | Application startup complete.
2025-06-06 08:55:21.885 | INFO     |  -  | Shutting down
2025-06-06 08:55:21.995 | INFO     |  -  | Waiting for application shutdown.
2025-06-06 08:55:24.754 | INFO     |  -  | Started server process [89212]
2025-06-06 08:55:24.755 | INFO     |  -  | Waiting for application startup.
2025-06-06 08:55:24.781 | INFO     |  -  | Application startup complete.
2025-06-06 08:57:48.611 | INFO     |  -  | Shutting down
2025-06-06 08:57:48.718 | INFO     |  -  | Waiting for application shutdown.
2025-06-06 08:57:51.515 | INFO     |  -  | Started server process [89617]
2025-06-06 08:57:51.515 | INFO     |  -  | Waiting for application startup.
2025-06-06 08:57:53.861 | INFO     |  -  | Started server process [89634]
2025-06-06 08:57:53.862 | INFO     |  -  | Waiting for application startup.
2025-06-06 08:57:53.884 | INFO     |  -  | Application startup complete.
2025-06-06 08:59:56.160 | INFO     |  -  | Shutting down
2025-06-06 08:59:56.264 | INFO     |  -  | Waiting for application shutdown.
2025-06-06 08:59:58.873 | INFO     |  -  | Started server process [89954]
2025-06-06 08:59:58.874 | INFO     |  -  | Waiting for application startup.
2025-06-06 08:59:58.904 | INFO     |  -  | Application startup complete.
2025-06-06 09:00:10.823 | INFO     |  -  | Shutting down
2025-06-06 09:00:10.925 | INFO     |  -  | Waiting for application shutdown.
2025-06-06 09:00:13.855 | INFO     |  -  | Started server process [90001]
2025-06-06 09:00:13.855 | INFO     |  -  | Waiting for application startup.
2025-06-06 09:00:13.881 | INFO     |  -  | Application startup complete.
2025-06-06 09:20:51.832 | INFO     |  -  | Shutting down
2025-06-06 09:20:51.936 | INFO     |  -  | Waiting for application shutdown.
2025-06-06 09:20:54.521 | INFO     |  -  | Started server process [92808]
2025-06-06 09:20:54.522 | INFO     |  -  | Waiting for application startup.
2025-06-06 09:20:54.554 | INFO     |  -  | Application startup complete.
2025-06-06 09:33:27.598 | INFO     |  -  | Started server process [95276]
2025-06-06 09:33:27.599 | INFO     |  -  | Waiting for application startup.
2025-06-06 09:33:27.634 | INFO     |  -  | Application startup complete.
